invoice,branch,city,member_type,gender,product _line,total,payment,gross_income,rating
630-74-5166,A,Yangon,Normal,Male,Sports and travel,391.419,Cash,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,321.111,Cash,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,860.685,Cash,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,34.629,Ewallet,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,309.3615,Credit card,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,535.374,Cash,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,548.7615,Ewallet,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,763.4655,Credit card,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,85.113,Credit card,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,115.185,Ewallet,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,53.928,Ewallet,2.568,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,115.08,Ewallet,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,112.224,Ewallet,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,836.304,Credit card,39.824,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,419.832,Credit card,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,944.622,Credit card,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,536.844,Credit card,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,474.348,Ewallet,22.588,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,688.6215,Credit card,32.7915,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,169.3125,Cash,8.0625,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,299.8485,Credit card,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,575.736,Ewallet,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,853.146,Ewallet,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,291.207,Cash,13.867,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,580.419,Cash,27.639,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,146.328,Cash,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,550.935,Credit card,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,512.19,Ewallet,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,284.193,Cash,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,138.1275,Credit card,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,216.846,Cash,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,545.055,Cash,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,609,Ewallet,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,942.9,Credit card,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,950.25,Cash,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,720.3,Cash,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,31.9305,Credit card,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,491.085,Ewallet,23.385,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,291.438,Credit card,13.878,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,316.47,Ewallet,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,277.788,Credit card,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,603.624,Credit card,28.744,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,272.664,Credit card,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,384.468,Credit card,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,254.016,Credit card,12.096,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,786.618,Credit card,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,103.824,Ewallet,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,680.148,Cash,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,484.5225,Credit card,23.0725,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,75.7785,Cash,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,263.97,Ewallet,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,918.729,Ewallet,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,588.357,Ewallet,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,362.712,Credit card,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,66.8745,Cash,3.1845,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,336.5565,Credit card,16.0265,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,160.44,Ewallet,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,418.95,Credit card,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,357.588,Ewallet,17.028,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,1003.59,Cash,47.79,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,1039.29,Credit card,49.49,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,323.064,Cash,15.384,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,510.972,Credit card,24.332,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,367.5525,Ewallet,17.5025,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,420.2625,Credit card,20.0125,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,175.14,Cash,8.34,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,333.207,Credit card,15.867,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,166.236,Ewallet,7.916,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,319.788,Ewallet,15.228,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,186.228,Credit card,8.868,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,165.4485,Credit card,7.8785,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,465.444,Ewallet,22.164,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,273.42,Ewallet,13.02,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,472.311,Cash,22.491,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,323.148,Cash,15.388,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,162.75,Ewallet,7.75,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,288.204,Ewallet,13.724,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,90.699,Credit card,4.319,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,56.952,Ewallet,2.712,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,793.716,Ewallet,37.796,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,195.174,Cash,9.294,7
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,77.7735,Ewallet,3.7035,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,293.202,Credit card,13.962,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,242.676,Credit card,11.556,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,154.392,Ewallet,7.352,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,829.71,Cash,39.51,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,107.31,Ewallet,5.11,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,171.7275,Credit card,8.1775,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,78.0045,Cash,3.7145,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,91.77,Cash,4.37,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,26.5545,Ewallet,1.2645,6.1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,174.3,Credit card,8.3,8.2
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,374.7975,Credit card,17.8475,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,120.645,Credit card,5.745,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,241.458,Cash,11.498,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,451.3635,Cash,21.4935,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,271.95,Ewallet,12.95,8.7
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,93.2925,Credit card,4.4425,5.4
749-24-1565,A,Yangon,Normal,Female,Health and beauty,217.6335,Ewallet,10.3635,7.9
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,629.8425,Credit card,29.9925,9.7
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,299.565,Ewallet,14.265,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,95.6655,Ewallet,4.5555,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,942.4485,Credit card,44.8785,6.5
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,247.8735,Ewallet,11.8035,5.9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,881.307,Cash,41.967,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,484.89,Ewallet,23.09,4.9
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,146.223,Credit card,6.963,4.4
891-58-8335,B,Mandalay,Member,Female,Sports and travel,217.6335,Cash,10.3635,6.5
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,19.194,Credit card,0.914,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,130.0425,Cash,6.1925,8.5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,298.116,Cash,14.196,5.5
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,796.908,Ewallet,37.948,8.7
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,180.621,Credit card,8.601,7.9
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,285.705,Ewallet,13.605,6.1
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,456.288,Ewallet,21.728,5.4
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,62.0025,Cash,2.9525,9.4
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,13.167,Cash,0.627,8.2
213-72-6612,A,Yangon,Normal,Male,Food and beverages,90.825,Cash,4.325,6.2
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,183.036,Credit card,8.716,9.7
836-82-5858,B,Mandalay,Member,Male,Health and beauty,655.5465,Ewallet,31.2165,4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,155.652,Ewallet,7.412,9.7
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,571.41,Cash,27.21,5.3
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,532.728,Ewallet,25.368,7.4
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,170.877,Cash,8.137,6.5
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,33.3585,Credit card,1.5885,8.7
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,794.6505,Cash,37.8405,8
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,310.044,Cash,14.764,6.7
157-13-5295,A,Yangon,Member,Male,Health and beauty,545.37,Ewallet,25.97,6.5
645-78-8093,A,Yangon,Normal,Female,Sports and travel,195.594,Ewallet,9.314,4.1
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,91.4025,Credit card,4.3525,4.9
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,232.155,Credit card,11.055,8.6
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,69.405,Cash,3.305,4.3
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,94.1745,Ewallet,4.4845,4.9
540-11-4336,A,Yangon,Normal,Male,Food and beverages,235.683,Credit card,11.223,5.6
448-81-5016,A,Yangon,Normal,Male,Health and beauty,125.517,Credit card,5.977,5.8
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,195.72,Credit card,9.32,6
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,263.13,Cash,12.53,4.2
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,788.508,Credit card,37.548,8.3
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,399.756,Cash,19.036,5.7
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,256.41,Cash,12.21,4.8
604-70-6476,A,Yangon,Member,Male,Fashion accessories,94.185,Ewallet,4.485,6.8
799-71-1548,A,Yangon,Member,Male,Electronic accessories,326.424,Credit card,15.544,8.8
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,536.991,Credit card,25.571,4.2
845-51-0542,B,Mandalay,Member,Male,Food and beverages,439.8975,Ewallet,20.9475,6.4
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,369.495,Credit card,17.595,8.4
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,30.219,Credit card,1.439,7.2
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,99.75,Cash,4.75,5.2
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,494.76,Cash,23.56,8.9
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,137.004,Cash,6.524,9
366-93-0948,A,Yangon,Member,Male,Electronic accessories,69.6675,Credit card,3.3175,9.7
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,163.233,Ewallet,7.773,8.7
151-16-1484,A,Yangon,Member,Male,Electronic accessories,135.45,Ewallet,6.45,6.5
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,276.948,Credit card,13.188,6.9
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,709.317,Ewallet,33.777,6.2
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,69.09,Ewallet,3.29,5.6
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,160.86,Cash,7.66,5.7
447-15-7839,A,Yangon,Member,Female,Sports and travel,233.52,Cash,11.12,4.2
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,57.1725,Ewallet,2.7225,7.9
253-12-6086,A,Yangon,Member,Female,Sports and travel,723.24,Credit card,34.44,8.7
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,148.974,Credit card,7.094,6.9
571-94-0759,B,Mandalay,Member,Female,Food and beverages,783.3,Cash,37.3,9.5
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,297.108,Credit card,14.148,4.4
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,373.17,Ewallet,17.77,7
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,354.0075,Ewallet,16.8575,6.3
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,44.352,Cash,2.112,9.7
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,203.553,Credit card,9.693,8.8
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,25.263,Cash,1.203,5.1
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,628.173,Ewallet,29.913,7.9
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,352.5795,Cash,16.7895,6.2
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,229.11,Cash,10.91,7.1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,400.764,Ewallet,19.084,6.4
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,745.395,Cash,35.495,5.7
828-61-5674,A,Yangon,Member,Male,Sports and travel,462.21,Credit card,22.01,9.6
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,587.664,Credit card,27.984,6.4
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,38.85,Credit card,1.85,7.9
490-29-1201,A,Yangon,Normal,Female,Sports and travel,16.107,Cash,0.767,6.5
667-92-0055,A,Yangon,Member,Male,Health and beauty,628.929,Ewallet,29.949,8.5
565-17-3836,A,Yangon,Member,Female,Health and beauty,200.214,Cash,9.534,9.1
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,350.07,Cash,16.67,7.6
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,78.603,Cash,3.743,6.9
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,224.4375,Cash,10.6875,9.5
283-79-9594,B,Mandalay,Normal,Female,Food and beverages,356.5485,Credit card,16.9785,5.2
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,697.368,Cash,33.208,4.2
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,423.15,Credit card,20.15,7
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories,204.6975,Ewallet,9.7475,6
278-97-7759,A,Yangon,Member,Female,Electronic accessories,65.604,Cash,3.124,4.7
316-68-6352,A,Yangon,Member,Female,Food and beverages,76.356,Cash,3.636,7.1
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,190.155,Ewallet,9.055,5.9
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,272.58,Cash,12.98,7.5
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories,121.128,Cash,5.768,6.4
